ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	category
おはよう	Guten Morgen.	Good morning.	Buenos días.	Bonjour.	Buongiorno.	Bom dia.	早安。	สวัสดียามเช้า	Günaydın.	早安。	صباح الخير.	Dzień dobry.	Καλημέρα.	Selamat pagi.	God morgon.	안녕하세요. 	Jó reggelt!	Dobré ráno.	Godmorgen.	Hyvää huomenta.	Bună dimineaţa.	God morgen.	Dobré ráno.	Доброе утро.	Goedemorgen.	早上好。	Good morning.	Good morning.	Good morning.	Good morning.	Buenos días.	Bonjour.	Bom dia.	Goedemorgen.	Greeting
こんにちは	Guten Tag.	Good afternoon.	Buenas tardes.	Bonjour.	Buon pomeriggio.	Boa tarde.	午安。	สวัสดียามบ่าย	İyi öğlenler.	午安。	مساء الخير.	Dzień dobry.	Καλησπέρα.	Selamat siang.	God eftermiddag.	안녕하세요. 	Jó napot!	Dobré odpoledne.	God eftermiddag.	Hyvää iltapäivää.	Bună ziua.	God ettermiddag.	Dobrý deň.	Добрый день.	Goedemiddag.	下午好。	Good afternoon.	Good afternoon.	Good afternoon.	Good afternoon.	Buenas tardes.	Bonjour.	Boa tarde.	Goedemiddag.	Greeting
こんばんは	Guten Abend.	Good evening.	Buena noches.	Bonsoir.	Buonasera.	Boa noite.	晚安。	สวัสดียามเย็น	İyi akşamlar.	晚安。	مساء الخير.	Dobry wieczór.	Καληνύχτα.	Selamat malam.	God kväll.	안녕하세요. 	Jó estét!	Dobrý večer.	Godaften.	Hyvää iltaa.	Bună seara.	God aften.	Dobrý večer.	Добрый вечер.	Goedenavond.	晚上好。	Good evening.	Good evening.	Good evening.	Good evening.	Buena noches.	Bonsoir.	Boa noite.	Goedenavond.	Greeting
やあ	Hallo.	Hello.	Hola.	Salut.	Ciao.	Olá.	哈囉。	สวัสดี	Merhaba.	哈囉。	مرحبا.	Cześć.	Γεια.	Hai.	Hej.	안녕하세요. 	Szia!	Dobrý den.	Hej.	Hei.	Salut.	Hallo.	Ahoj.	Привет.	Hallo.	你好。	Hello.	Hello.	Hello.	Hello.	Hola.	Salut.	Olá.	Hallo.	Greeting
さようなら	Auf Wiedersehen.	Good bye.	Adiós.	Au revoir.	Arrivederci.	Adeus.	再見。	ลาก่อน	Hoşçakal.	再見。	وداعا.	Do widzenia.	Αντίο.	Selamat tinggal.	Hejdå.	안녕히 가세요.	Viszontlátásra!	Na shledanou.	Farvel.	Näkemiin.	La revedere.	Ha det.	Dovidenia.	До свидания.	Dag.	拜拜。	Good bye.	Good bye.	Good bye.	Good bye.	Adiós.	Au revoir.	Adeus.	Dag.	Greeting
またあとで	Bis später.	See you later.	Nos vemos más tarde.	À plus tard.	A dopo.	Até logo.	晚點見。	แล้วพบกันใหม่	Sonra görüşürüz.	晚點見。	أراك لاحقا.	Do zobaczenia później.	Τα λέμε αργότερα.	Sampai jumpa.	Vi ses senare.	나중에 봐요. 	Nemsokára találkozunk!	Tak zatím.	Vi ses senere.	Nähdään myöhemmin.	Ne vedem mai târziu.	Ser deg senere.	Uvidíme sa neskôr.	До скорой встречи.	Tot ziens.	再见。	See you later.	See you later.	See you later.	See you later.	Nos vemos más tarde.	À plus tard.	Até logo.	Tot ziens.	Greeting
ありがとう	Danke schön.	Thank you.	Gracias.	Merci.	Grazie.	Obrigado.	謝謝你。	ขอบคุณ	Teşekkürler.	謝謝你。	شكرا لك.	Dziękuję.	Ευχαριστώ.	Makasih.	Tack.	감사합니다. 	Köszönöm!	Děkuji.	Tak.	Kiitos.	Mulţumesc.	Takk.	Ďakujem.	Спасибо.	Dankjewel.	谢谢。	Thank you.	Thank you.	Thank you.	Thank you.	Gracias.	Merci.	Obrigado.	Dankjewel.	Life
どういたしまして	Gerne geschehen.	You're welcome.	De nada.	Je vous en prie.	Prego.	De nada.	不客氣。	ด้วยความยินดี	Rica ederim.	不客氣。	على الرحب والسعة.	Proszę bardzo.	Δεν κάνει τίποτα.	Sama-sama.	Ingen orsak.	천만에요. 	Szívesen.	Není zač.	Du er velkommen.	Ole hyvä.	Cu plăcere.	Bare hyggelig.	Nemáš za čo.	Всегда пожалуйста.	Graag gedaan.	不客气。	You're welcome.	You're welcome.	You're welcome.	You're welcome.	De nada.	Je vous en prie.	De nada.	Graag gedaan.	Life
いえ、けっこうです	Nein, danke.	No thank you.	No gracias.	Non merci.	No, grazie.	Não obrigado.	不了，謝謝你。	ไม่ ขอบคุณ	Hayır teşekkür ederim.	不了，謝謝你。	لا أشكرك.	Nie, dziękuję.	Όχι, ευχαριστώ.	Enggak, makasih.	Tack själv.	아닙니다, 괜찮습니다.	Nem, köszönöm.	Ne, děkuji.	Nej tak.	Ei kiitos.	Nu, mulţumesc.	Nei takk.	Nie, ďakujem.	Нет, спасибо.	Nee, dankjewel.	不了，谢谢。	No thank you.	No thank you.	No thank you.	No thank you.	No gracias.	Non merci.	Não obrigado.	Nee, dankjewel.	Life
おねがいします	Bitte.	Please.	Por favor.	S'il vous plaît.	Per favore.	Por favor.	請。	ได้โปรด	Lütfen.	請。	من فضلك.	Proszę.	Παρακαλώ.	Silakan.	Tack.	제발.	Kérem.	Prosím.	Venligst.	Ole hyvä.	Te rog.	Vær så snill.	Prosím.	Пожалуйста.	Alstublieft.	请。	Please.	Please.	Please.	Please.	Por favor.	S'il vous plaît.	Por favor.	Alstublieft.	Life
