ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	language
日本語	Japanisch 	Japanese 	japonés 	japonais 	giapponese 	japonês 	日本 	ภาษาญี่ปุ่น 	Japon 	日本 	اليابانية 	Japoński 	Ιαπωνικά 	Jepang 	japanska 	일본어 	japán 	Japanese 	Japansk 	Japani 	japoneză 	Japansk 	japanese 	Японский 	Japanse 	日本 	Japanese 	Japanese 	Japanese 	Japanese 	japonés 	japonais 	japonês 	Japanse 	ja-JP
アラビア語	Arabisch 	Arabic 	árabe 	arabe 	arabo 	Árabe 	阿拉伯语 	ภาษาอาหรับ 	Arapça 	阿拉伯语 	العربية 	Arabski 	Arabic 	Arabic 	arabiska 	아라비아어 	Arabic 	Arabic 	arabisk 	Arabia 	arabă 	Arabic 	arabic 	Арабский 	Arabic 	阿拉伯語 	Arabic 	Arabic 	Arabic 	Arabic 	árabe 	arabe 	Árabe 	Arabic 	ar-SA
英語	Englisch 	English 	Inglés 	anglais 	Inglese 	Inglês 	英语 	ภาษาอังกฤษ 	ingilizce 	英语 	الإنجليزية 	angielski 	Αγγλικά 	Bahasa Inggris 	Engelska 	영어 	English 	angličtina 	engelsk 	Englanti 	engleză 	Norsk 	angličtina 	Английский 	Engels 	英語 	English 	English 	English 	English 	Inglés 	anglais 	Inglês 	Engels 	en-ZA
タイ語	thailändisch 	Thai 	tailandesa 	thaï 	Thai 	Thai 	泰国 	ไทย 	Tay 	泰国 	التايلاندية 	Tajska 	Ταϊλάνδης 	Thai 	Thai 	타이어 	Thai 	Thai 	Thai 	Thai 	Thai 	Thai 	thai 	Тайский 	Thai 	泰國 	Thai 	Thai 	Thai 	Thai 	tailandesa 	thaï 	Thai 	Thai 	th-TH
オランダ語	Holländisch 	Dutch 	Holandés 	néerlandais 	olandese 	Holandês 	荷兰 	ดัตช์ 	Hollandalı 	荷兰 	الهولندية 	Holenderski 	Ολλανδικά 	Belanda 	Holländska 	네덜란드 	Dutch 	Dutch 	Hollandsk 	Dutch 	Dutch 	Dutch 	dutch 	Голландский 	Nederlands 	荷蘭 	Dutch 	Dutch 	Dutch 	Dutch 	Holandés 	néerlandais 	Holandês 	Nederlands 	nl-BE
英語	Englisch 	English 	Inglés 	anglais 	Inglese 	Inglês 	英语 	ภาษาอังกฤษ 	ingilizce 	英语 	الإنجليزية 	angielski 	Αγγλικά 	Bahasa Inggris 	Engelska 	영어 	English 	angličtina 	engelsk 	Englanti 	engleză 	Norsk 	angličtina 	Английский 	Engels 	英語 	English 	English 	English 	English 	Inglés 	anglais 	Inglês 	Engels 	en-AU
ドイツ語	Deutsch 	German 	alemán 	allemand 	tedesco 	Alemão 	德国 	เยอรมัน 	Alman 	德国 	الألمانية 	niemiecki 	Γερμανικά 	Jerman 	Tyska 	독일어 	német 	Němec 	German 	Saksan 	germană 	German 	nemec 	Немецкий 	Duitse 	德國 	German 	German 	German 	German 	alemán 	allemand 	Alemão 	Duitse 	de-DE
英語	Englisch 	English 	Inglés 	anglais 	Inglese 	Inglês 	英语 	ภาษาอังกฤษ 	ingilizce 	英语 	الإنجليزية 	angielski 	Αγγλικά 	Bahasa Inggris 	Engelska 	영어 	English 	angličtina 	engelsk 	Englanti 	engleză 	Norsk 	angličtina 	Английский 	Engels 	英語 	English 	English 	English 	English 	Inglés 	anglais 	Inglês 	Engels 	en-US
ポルトガル語	portugiesische Sprache 	Portuguese language 	lengua portuguesa 	langue portugaise 	Portoghese 	em português 	葡萄牙语 	ภาษาโปรตุเกส 	Portekizce dil 	葡萄牙语 	اللغة البرتغالية 	język portugalski 	πορτογαλική γλώσσα 	bahasa Portugis 	portugisiska 	포르투갈어 	portugál nyelv 	portugalština 	portugisiske sprog 	portugalin kieli 	în limba portugheză 	Portugisisk språk 	Portugalčina 	Португальский язык 	Portugeestalige 	葡萄牙語 	Portuguese language 	Portuguese language 	Portuguese language 	Portuguese language 	lengua portuguesa 	langue portugaise 	em português 	Portugeestalige 	pt-BR
ポーランド語	Politur 	Polish 	polaco 	polonais 	polacco 	polonês 	波兰 	โปแลนด์ 	Lehçe 	波兰 	البولندية 	Polskie 	Πολωνικά 	Polandia 	polska 	폴란드어 	lengyel 	Polský 	polsk 	Polish 	polonez 	Polsk 	Poľský 	Польский 	Pools 	波蘭 	Polish 	Polish 	Polish 	Polish 	polaco 	polonais 	polonês 	Pools 	pl-PL
