ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL
あたま	Kopf	head	cabeza	tête	testa	cabeça	头	หัว	kafa	头	رئيس	głowa	κεφάλι	kepala	huvud	머리	fej	hlava	hoved	pää	cap	hode	hlava	руководитель	hoofd	頭	head	head	head	head	cabeza	tête	cabeça	hoofd
みみ	Ohr	ear	oído	oreille	orecchio	ouvido	耳	หู	kulak	耳	إذن	ucho	αυτί	telinga	örat	귀	fül	ucho	øre	korva	ureche	øret	ucho	ухо	oor	耳	ear	ear	ear	ear	oído	oreille	ouvido	oor
め	Auge	eye	ojo	œil	occhio	olho	眼	ตา	göz	眼	عين	oko	μάτι	mata	öga	눈	szem	oko	øje	silmä	ochi	øye	oko	глаз	oog	眼	eye	eye	eye	eye	ojo	œil	olho	oog
はな	Nase	nose	nariz	nez	naso	nariz	鼻子	จมูก	burun	鼻子	أنف	nos	μύτη	hidung	näsa	코	orr	nos	næse	nenä	nas	nese	nos	нос	neus	鼻子	nose	nose	nose	nose	nariz	nez	nariz	neus
くち	Mund	mouth	boca	bouche	bocca	boca	口	ปาก	ağız	口	فم	usta	στόμα	mulut	mun	입	száj	ústa	mund	suu	gură	munn	ústa	рот	mond	口	mouth	mouth	mouth	mouth	boca	bouche	boca	mond
くび	Hals	neck	cuello	cou	collo	pescoço	颈部	คอ	boyun	颈部	العنق	szyja	λαιμός	leher	hals	목	nyak	krk	hals	kaula	gât	halsen	krk	шея	nek	頸部	neck	neck	neck	neck	cuello	cou	pescoço	nek
かた	Schulter	shoulder	hombro	épaule	spalla	ombro	肩	ไหล่	omuz	肩	كتف	ramię	ώμος	bahu	skuldra	어깨	váll	rameno	skulder	olkapää	umăr	skulder	rameno	плечо	schouder	肩	shoulder	shoulder	shoulder	shoulder	hombro	épaule	ombro	schouder
むね	Brust	chest	pecho	poitrine	petto	peito	胸部	หน้าอก	göğüs	胸部	صدر	skrzynia	στήθος	dada	bröst	가슴	mellkas	truhla	bryst	rinta	piept	brystet	truhla	грудь	borst	胸部	chest	chest	chest	chest	pecho	poitrine	peito	borst
うで	Arm	arm	brazo	bras	braccio	braço	臂	แขน	kol	臂	ذراع	ramię	μπράτσο	lengan	arm	팔	kar	paže	arm	varsi	braț	arm	paže	рука	arm	臂	arm	arm	arm	arm	brazo	bras	braço	arm
ひじ	Ellbogen	elbow	codo	coude	gomito	cotovelo	弯头	ข้อศอก	dirsek	弯头	كوع	łokieć	αγκώνα	siku	armbåge	팔꿈치	könyök	koleno	albue	kyynärpää	cot	albue	koleno	локоть	elleboog	彎頭	elbow	elbow	elbow	elbow	codo	coude	cotovelo	elleboog
てくび	Handgelenk	wrist	muñeca	poignet	polso	pulso	腕	ข้อมือ	bilek	腕	معصم	nadgarstek	καρπού	pergelangan tangan	handled	손목	csukló	zápěstí	håndled	ranne	carp	håndledd	zápästie	запястье	pols	腕	wrist	wrist	wrist	wrist	muñeca	poignet	pulso	pols
て	Hand	hand	mano	main	mano	mão	手	มือ	el	手	يد	ręka	χέρι	tangan	sidan	손	kézi	ruka	hånd	käsi	mână	hånd	ruka	рука	hand	手	hand	hand	hand	hand	mano	main	mão	hand
ゆび	Finger	finger	dedo	doigt	dito	dedo	手指	นิ้ว	parmak	手指	إصبع	palec	δάχτυλο	jari	finger	손가락	ujj	prst	finger	sormi	deget	finger	prst	палец	vinger	手指	finger	finger	finger	finger	dedo	doigt	dedo	vinger
せなか	zurück	back	espalda	arrière	indietro	de volta	后面	กลับ	geri	后面	ظهر	z powrotem	πίσω	kembali	tillbaka	백	vissza	zpátky	tilbage	takaisin	înapoi	tilbake	staré	назад	terug	後面	back	back	back	back	espalda	arrière	de volta	terug
こし	unteren Rücken	lower back	baja de la espalda	lombes	parte bassa della schiena	parte inferior das costas	腰部	หลังส่วนล่าง	bel	腰部	أسفل الظهر	dolnej części pleców	κάτω μέρος της πλάτης	punggung bawah	nedre delen av ryggen	요통	a hát alsó részén	spodní části zad	lænd	alaselän	de jos a spatelui	korsrygg	spodnej časti chrbta	пояснице	onderrug	腰部	lower back	lower back	lower back	lower back	baja de la espalda	lombes	parte inferior das costas	onderrug
おしり	Pobacke	buttock	nalga	fesse	natica	nádega	臀部	สะโพก	kaba et	臀部	ردف	pośladek	γλουτός	pantat	skinkan	엉덩이	félfenék	hýždě	balde	pakara	fesă	rumpeballe	zadok	ягодица	bil	臀部	buttock	buttock	buttock	buttock	nalga	fesse	nádega	bil
あし	Bein	leg	pierna	jambe	gamba	perna	腿	ขา	bacak	腿	ساق	noga	πόδι	kaki	ben	다리	láb	noha	ben	jalka	picior	leg	noha	нога	been	腿	leg	leg	leg	leg	pierna	jambe	perna	been
ふともも	Schenkel	thigh	muslo	cuisse	coscia	coxa	大腿	ต้นขา	uyluk	大腿	فخذ	udo	μηρό	paha	lår	허벅 다리	comb	stehno	lår	reisi	coapsă	lår	stehno	бедро	dij	大腿	thigh	thigh	thigh	thigh	muslo	cuisse	coxa	dij
ひざ	Knie	knee	rodilla	genou	ginocchio	joelho	膝盖	เข่า	diz	膝盖	ركبة	kolano	γόνατο	lutut	knä	무릎	térd	koleno	knæ	polvi	genunchi	kneet	koleno	колено	knie	膝蓋	knee	knee	knee	knee	rodilla	genou	joelho	knie
ふくらはぎ	Kalb	calf	ternero	veau	vitello	bezerro	小牛	ลูกวัว	buzağı	小牛	عجل	cielę	μοσχάρι	betis	kalv	송아지	borjú	tele	kalv	vasikka	vițel	kalv	teľa	теленок	kalf	小牛	calf	calf	calf	calf	ternero	veau	bezerro	kalf
くるぶし	Knöchel	ankle	tobillo	cheville	caviglia	tornozelo	脚踝	ข้อเท้า	ayak bileği	脚踝	الكاحل	kostki	αστράγαλος	pergelangan kaki	ankel	발목	boka	kotník	ankel	nilkka	gleznă	ankel	členok	лодыжка	enkel	腳踝	ankle	ankle	ankle	ankle	tobillo	cheville	tornozelo	enkel
かかと	Ferse	heel	tacón	talon	tacco	calcanhar	脚跟	ส้นเท้า	topuk	脚跟	كعب	pięta	φτέρνα	tumit	klack	힐	sarok	pata	hæl	kantapää	toc	hæl	päta	каблук	hiel	腳跟	heel	heel	heel	heel	tacón	talon	calcanhar	hiel
つまさき	Zeh	toe	dedo del pie	orteil	punta	dedo do pé	脚趾	นิ้วเท้า	ayak parmağı	脚趾	اصبع القدم	palec	toe	kaki	tå	발가락	lábujj	toe	tå	varvas	deget de la picior	tå	toe	носок	teen	腳趾	toe	toe	toe	toe	dedo del pie	orteil	dedo do pé	teen
胃	Magen	stomach	estómago	estomac	stomaco	estômago	胃	กระเพาะอาหาร	mide	胃	معدة	żołądek	στομάχι	perut	mage	위	gyomor	žaludek	mave	vatsa	stomac	magen	žalúdok	желудок	maag	胃	stomach	stomach	stomach	stomach	estómago	estomac	estômago	maag
肺	Lunge	lung	pulmón	poumon	polmone	pulmão	肺	ปอด	akciğer	肺	رئة	płuco	πνεύμονας	paru-paru	lunga	폐	tüdő	plíce	lunge	keuhko	plămân	lunge	pľúca	легкое	long	肺	lung	lung	lung	lung	pulmón	poumon	pulmão	long
