ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL
かんこうあんないじょ	Touristeninformation	tourist information	información turística	informations touristiques	informazioni turistiche	informações turísticas	旅游信息	ข้อมูลการท่องเที่ยว	turistik bilgiler	旅游信息	معلومات سياحية	informacja turystyczna	τουριστικές πληροφορίες	informasi wisatawan	turistinformation	관광 정보	turisztikai információs	turistické informace	turistinformation	matkailuneuvonta	informații turistice	turistinformasjon	turistické informácie	туристическая информация	toeristische informatie	旅遊信息	tourist information	tourist information	tourist information	tourist information	información turística	informations touristiques	informações turísticas	toeristische informatie
りょうがえじょ	Währung	currency	moneda	monnaie	valuta	moeda	货币	เงินตรา	para	货币	عملة	waluta	νόμισμα	mata uang	valuta	통화	valuta	měna	valuta	valuutta	valută	valuta	mena	валюта	valuta	貨幣	currency	currency	currency	currency	moneda	monnaie	moeda	valuta
くうこう	Flughafen	airport	aeropuerto	aéroport	aeroporto	aeroporto	机场	สนามบิน	havaalanı	机场	مطار	lotnisko	αεροδρόμιο	bandara	flygplats	공항	repülőtér	letiště	lufthavn	lentokenttä	aeroport	flyplassen	letisko	аэропорт	luchthaven	機場	airport	airport	airport	airport	aeropuerto	aéroport	aeroporto	luchthaven
バスてい	Bushaltestelle	bus stop	parada de autobús	arrêt de bus	fermata dell'autobus	parada de ônibus	公共汽车站	ป้ายรถประจำทาง	otobüs durağı	公共汽车站	موقف باص	przystanek autobusowy	στάση λεωφορείου	halte bis	busshållplats	버스 정류장	buszmegálló	autobusová zastávka	busstoppested	bussipysäkki	stație de autobuz	bussholdeplass	autobusová zastávka	автобусная остановка	bushalte	公共汽車站	bus stop	bus stop	bus stop	bus stop	parada de autobús	arrêt de bus	parada de ônibus	bushalte
ホテル	Hotel	hotel	hotel	hôtel	albergo	hotel	旅馆	โรงแรม	otel	旅馆	الفندق	hotel	ξενοδοχείο	hotel	hotell	호텔	hotel	hotel	hotel	hotelli	hotel	hotellet	hotel	отель	hotel	旅館	hotel	hotel	hotel	hotel	hotel	hôtel	hotel	hotel
ホステル	Herberge	hostel	albergue	auberge	ostello	hostel	旅馆	ที่พัก	pansiyon	旅馆	نزل	schronisko	ξενοδοχείο	asrama	vandrarhem	호스텔	turistaszálló	ubytovna	hostel	retkeilymaja	cămin	hostel	ubytovňa	общежитие	herberg	旅館	hostel	hostel	hostel	hostel	albergue	auberge	hostel	herberg
やすやど	Backpacker-Hostel	backpacker hostel	hostal para mochileros	auberge de routards	backpacker Hostel	backpacker hostel	背包客旅馆	หอพักแบ็คแพคเกอร์	backpacker hostel	背包客旅馆	نزل الرحال	backpacker Hostel	backpacker hostel	backpacker hostel	backpacker hostel	백패커스 호스텔	hátizsákos hostel	backpacker Hostel	backpacker hostel	patikoija hostel	backpacker Hostel	backpacker hostel	Backpacker Hostel	общежитие общежития	Backpacker Hostel	背包客旅館	backpacker hostel	backpacker hostel	backpacker hostel	backpacker hostel	hostal para mochileros	auberge de routards	backpacker hostel	Backpacker Hostel
えき	Station	station	estación	station	stazione	estação	站	สถานี	istasyon	站	محطة	stacja	σταθμός	stasiun	station	역	állomás	stanice	station	asema	stație	stasjonen	stanica	станция	station	站	station	station	station	station	estación	station	estação	station
はくぶつかん	Museum	museum	museo	musée	museo	museu	博物馆	พิพิธภัณฑ์	müze	博物馆	متحف	muzeum	μουσείο	museum	museum	박물관	múzeum	muzeum	museum	museo	muzeu	museum	múzeum	музей	museum	博物館	museum	museum	museum	museum	museo	musée	museu	museum
びじゅつかん	Kunstgalerie	art gallery	galería de arte	galerie d'art	galleria d'arte	galeria de arte	艺术画廊	อาร์ตแกลเลอรี่	sanat galerisi	艺术画廊	معرض فنون	galeria sztuki	γκαλερί	galeri seni	konstgalleri	미술관	galéria	galerie	kunstgalleri	taidegalleria	galerie de artă	kunstgalleri	galérie	художественная галерея	kunstgalerie	藝術畫廊	art gallery	art gallery	art gallery	art gallery	galería de arte	galerie d'art	galeria de arte	kunstgalerie
