ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL
みず	Trinkwasser	drinking water	agua potable	l'eau potable	acqua potabile	água potável	饮用水	น้ำดื่ม	içme suyu	饮用水	مياه الشرب	wody pitnej	πόσιμο νερό	air minum	dricksvatten	마시는 물	ivóvíz	pitné vody	drikkevand	juomavesi	apă potabilă	drikkevann	pitnej vody	питьевой воды	drinkwater	飲用水	drinking water	drinking water	drinking water	drinking water	agua potable	l'eau potable	água potável	drinkwater
コーラ	Koks	coke	coque	coke	coke	coque	焦	โคก	kok	焦	فحم الكوك	koks	κοκ	kokas	koks	코카인	koksz	koks	koks	koksi	cocs	koks	koks	кокс	cokes	焦	coke	coke	coke	coke	coque	coke	coque	cokes
こめ	Reis	rice	arroz	riz	riso	arroz	饭	ข้าว	pirinç	饭	الأرز	ryż	ρύζι	beras	ris	쌀	rizs	rýže	ris	riisi	orez	ris	ryža	рис	rijst	飯	rice	rice	rice	rice	arroz	riz	arroz	rijst
パン	Brot	bread	pan	pain	pane	pão	面包	ขนมปัง	ekmek	面包	خبز	chleb	ψωμί	roti	bröd	빵	kenyér	chléb	brød	leipä	pâine	brød	chlieb	хлеб	brood	麵包	bread	bread	bread	bread	pan	pain	pão	brood
おかし	Snack	snack	bocadillo	casse-croûte	spuntino	lanche	小吃	อาหารว่าง	aperatif	小吃	وجبة خفيفة	przekąska	πρόχειρο φαγητό	camilan	mellanmål	간식	falatozás	snack	snack	välipala	gustare	snack	snack	закуска	snack	小吃	snack	snack	snack	snack	bocadillo	casse-croûte	lanche	snack
はぶらし	Zahnbürste	toothbrush	cepillo de dientes	brosse à dents	spazzolino da denti	escova de dentes	牙刷	แปรงสีฟัน	diş fırçası	牙刷	فرشاة الأسنان	szczoteczka do zębów	οδοντόβουρτσα	sikat gigi	tandborste	칫솔	fogkefe	kartáček na zuby	tandbørste	hammasharja	periuță de dinți	tannbørste	kefka na zuby	зубная щетка	tandenborstel	牙刷	toothbrush	toothbrush	toothbrush	toothbrush	cepillo de dientes	brosse à dents	escova de dentes	tandenborstel
はみがきこ	Zahnpulver	dental powder	polvo dental	poudre dentaire	polvere dentale	pó dental	牙科粉	ผงทันตกรรม	diş tozu	牙科粉	مسحوق الأسنان	proszek do zębów	οδοντιατρική σκόνη	bubuk gigi	tandpulver	치과 분말	Fogporok	zubní prášek	dental pulver	Hammaspulverit	praf de dinți	dental pulver	zubný prášok	стоматологическая порошок	tandheelkundige poeder	牙科粉	dental powder	dental powder	dental powder	dental powder	polvo dental	poudre dentaire	pó dental	tandheelkundige poeder
ひげそり	Rasierapparat	shaver	maquinilla de afeitar	rasoir	rasoio	barbeador	剃须刀	มีดโกน	tıraş makinesi	剃须刀	صبي	golarka	ξυριστική μηχανή	alat cukur	rakapparat	면도기	borotváló	holicí strojek	shaver	partakone	bărbier	barbermaskin	holiaci strojček	бритва	scheerapparaat	剃須刀	shaver	shaver	shaver	shaver	maquinilla de afeitar	rasoir	barbeador	scheerapparaat
シャンプー	Shampoo	shampoo	champú	shampooing	shampoo	xampu	洗发水	แชมพูสระผม	şampuan	洗发水	شامبو	szampon	σαμπουάν	sampo	schampo	샴푸	sampon	šampon	shampoo	shampoo	șampon	sjampo	šampón	шампунь	shampoo	洗髮水	shampoo	shampoo	shampoo	shampoo	champú	shampooing	xampu	shampoo
リンス	Haar-Conditioner	hair conditioner	acondicionador para el cabello	revitalisant	condizionatore dei capelli	condicionador de cabelo	护发素	ครีมนวดผม	saç kremi	护发素	مكيف الشعر	odżywka do włosów	μαλακτική κρέμα μαλλιών	conditioner	hårbalsam	헤어 컨디셔너	haj kondicionáló	kondicionér na vlasy	hårbalsam	hiustenhoitoaine	balsam de păr	hårbalsam	kondicionér na vlasy	кондиционер для волос	conditioner	護髮素	hair conditioner	hair conditioner	hair conditioner	hair conditioner	acondicionador para el cabello	revitalisant	condicionador de cabelo	conditioner
石鹸	Seife	soap	jabón	savon	sapone	sabão	肥皂	สบู่	sabun	肥皂	صابون	mydło	σαπούνι	sabun	tvål	비누	szappan	mýdlo	sæbe	saippua	săpun	såpe	mydlo	мыло	zeep	肥皂	soap	soap	soap	soap	jabón	savon	sabão	zeep
ティッシュ	Gewebe	tissue	tejido	tissu	tessuto	tecido	组织	เนื้อเยื่อ	doku	组织	الأنسجة	tkanka	ιστός	jaringan	vävnad	조직	szövet	tkáň	væv	kudos	țesut	vev	tkanivo	ткань	weefsel	組織	tissue	tissue	tissue	tissue	tejido	tissu	tecido	weefsel
トイレットペーパー	Klopapier	toilet paper	papel higiénico	papier de toilette	carta igienica	papel higiênico	卫生纸	กระดาษชำระ	tuvalet kağıdı	卫生纸	ورق تواليت	papier toaletowy	χαρτί υγείας	tisu toilet	toalettpapper	화장지	vécépapír	toaletní papír	toiletpapir	WC-paperi	hârtie igienică	toalettpapir	toaletný papier	туалетная бумага	toiletpapier	衛生紙	toilet paper	toilet paper	toilet paper	toilet paper	papel higiénico	papier de toilette	papel higiênico	toiletpapier
へんかんプラグ	Steckeradapter	plug adapter	adaptador de enchufe	branchez l'adaptateur	collegare l'adattatore	adaptador de tomada	插头转换器	เสียบอะแดปเตอร์	adaptörünü	插头转换器	قابس محول	podłącz zasilacz	Μετασχηματιστής	pasang adaptor	Stick adapter	어댑터 플러그	dugó adapter	zapojte adaptér	plug adapter	pistokesovitin	conectați adaptorul	plugg adapter	zapojte adaptér	переходная вилка	plug adapter	插頭轉換器	plug adapter	plug adapter	plug adapter	plug adapter	adaptador de enchufe	branchez l'adaptateur	adaptador de tomada	plug adapter
でんち	Batterie	battery	batería	batterie	batteria	bateria	电池	แบตเตอรี่	pil	电池	بطارية	bateria	μπαταρία	baterai	batteri	배터리	akkumulátor	baterie	batteri	akku	baterie	batteri	batérie	батарея	batterij	電池	battery	battery	battery	battery	batería	batterie	bateria	batterij
ハガキ	Postkarte	postcard	tarjeta postal	carte postale	cartolina	cartão postal	明信片	โปสการ์ด	kartpostal	明信片	بطاقة بريدية	pocztówka	καρτ ποστάλ	kartu pos	vykort	엽서	levelezőlap	pohlednice	postkort	postikortti	carte poștală	postkort	pohľadnice	открытка	ansichtkaart	明信片	postcard	postcard	postcard	postcard	tarjeta postal	carte postale	cartão postal	ansichtkaart
きって	Stempel	stamp	sello	timbre	stamp	selo	邮票	แสตมป์	damga	邮票	ختم	pieczęć	σφραγίδα	cap	frimärke	우표	pecsét	razítko	frimærke	leima	ștampila	frimerke	pečiatka	печать	stamp	郵票	stamp	stamp	stamp	stamp	sello	timbre	selo	stamp
ちず	Karte	map	mapa	carte	mappa	mapa	地图	แผนที่	harita	地图	خريطة	mapa	χάρτης	peta	karta	지도	térkép	mapa	kort	kartta	hartă	kartet	mapa	карта	kaart	地圖	map	map	map	map	mapa	carte	mapa	kaart
カサ	Regenschirm	umbrella	paraguas	parapluie	ombrello	guarda-chuva	伞	ร่ม	şemsiye	伞	مظلة	parasol	ομπρέλα	payung	paraply	우산	esernyő	deštník	paraply	sateenvarjo	umbrelă	paraply	dáždnik	зонтик	paraplu	傘	umbrella	umbrella	umbrella	umbrella	paraguas	parapluie	guarda-chuva	paraplu
めぐすり	Augentropfen	eye-drop	colirio	collyre	collirio	olho-drop	滴眼剂	ยาหยอดตา	göz damlası	滴眼剂	العين قطرة	kropli do oczu	οφθαλμικών σταγόνων	eye-drop	ögondroppar	안약	szemcsepp	eye-drop	eye-drop	silmätippana	ochi-drop	øye-slipp	eye-drop	глазные капли	eye-drop	滴眼劑	eye-drop	eye-drop	eye-drop	eye-drop	colirio	collyre	olho-drop	eye-drop
いぐすり	Magen Medizin	stomach medicine	medicamento para el estómago	estomac médecine	stomaco medicina	estômago medicina	胃药	ท้องยา	tıp mide	胃药	المعدة الطب	żołądek leku	στομάχι ιατρικής	perut obat	magen medicin	약을 위장	gyomor gyógyszert	žaludeční lék	mavemedicin	vatsaan lääketieteen	stomac medicină	magen medisin	žalúdočné liek	переварить лекарство	maag geneeskunde	胃藥	stomach medicine	stomach medicine	stomach medicine	stomach medicine	medicamento para el estómago	estomac médecine	estômago medicina	maag geneeskunde
げりどめ	Medizin gegen Durchfall	medicine for diarrhea	la medicina para la diarrea	médicament contre la diarrhée	medicina per la diarrea	remédio para diarréia	药腹泻	ยาโรคท้องร่วง	ishal için ilaç	药腹泻	الطب للإسهال	lek na biegunkę	φάρμακο για τη διάρροια	obat diare	medicin för diarré	설사 의학	gyógyszer hasmenés	lék na průjem	medicin til diarré	lääkettä ripuliin	medicament pentru diaree	medisin for diaré	liek na hnačku	медицина для лечения диареи	geneesmiddelen tegen diarree	藥腹瀉	medicine for diarrhea	medicine for diarrhea	medicine for diarrhea	medicine for diarrhea	la medicina para la diarrea	médicament contre la diarrhée	remédio para diarréia	geneesmiddelen tegen diarree
